replicate	seed	selected_C	validation_average_precision	average_precision	brier	roc_auc	real_context_support_ap	real_minus_shuffled_ap
183	20262997	1.0	0.8178605599935536	0.8107041021706329	0.1980305918077077	0.6570077854493648	0.9571531912808816	0.1464490891102486
184	20262998	1.0	0.8176931059084483	0.8107871906981576	0.198022206864051	0.6573603468795065	0.9571531912808816	0.1463660005827239
185	20262999	10.0	0.8176267182651069	0.8111872593977911	0.1980098019307365	0.6579260455294882	0.9571531912808816	0.1459659318830904
186	20263000	0.01	0.8179463705409784	0.811162835249819	0.1980245508616092	0.65752653284695	0.9571531912808816	0.1459903560310625
187	20263001	0.01	0.8176293781005286	0.8112050384031014	0.198014867830525	0.6577904966244059	0.9571531912808816	0.1459481528777801
188	20263002	10.0	0.8174541332100895	0.8106626750321798	0.1980215698755885	0.6574689262179155	0.9571531912808816	0.1464905162487018
189	20263003	0.01	0.8171661718910622	0.8110936207213616	0.198020776971322	0.657614829061634	0.9571531912808816	0.14605957055952
190	20263004	0.1	0.8175905902190199	0.8107848758575744	0.1980129414741582	0.6577511361289631	0.9571531912808816	0.1463683154233072
191	20263005	0.01	0.8171138553709569	0.8106595505028651	0.1980249815191275	0.6573641502506576	0.9571531912808816	0.1464936407780165
192	20263006	0.01	0.817609632701334	0.810193536316259	0.1980271388595808	0.6572411726804217	0.9571531912808816	0.1469596549646226
193	20263007	10.0	0.8179032934818417	0.8103694068120156	0.1980212364668095	0.6574773116750556	0.9571531912808816	0.1467837844688659
194	20263008	1.0	0.8183574766070605	0.8109509250776065	0.1980205839874196	0.6577052433350049	0.9571531912808816	0.1462022662032751
195	20263009	0.01	0.8174024540682163	0.8106817291577073	0.1980213110654051	0.6576353656673151	0.9571531912808816	0.1464714621231743
196	20263010	0.1	0.817479998284715	0.8106171319158726	0.1980272102276751	0.6574788850900799	0.9571531912808816	0.146536059365009
197	20263011	0.1	0.8176114545449104	0.8109140229948242	0.1980222214928837	0.657349238204055	0.9571531912808816	0.1462391682860574
198	20263012	0.1	0.8170236173231286	0.8112184639063902	0.1980191968130795	0.6577006269946974	0.9571531912808816	0.1459347273744914
199	20263013	0.01	0.8175176301548588	0.8116417953329733	0.1980199660553755	0.6577729686896896	0.9571531912808816	0.1455113959479083
